Latitude,Longitude,Distance,CropType,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12
43.002481607843144,-81.58804443137255,34,"Soybean",82,61,54,32,52,181,236,236,238,58,1,107,43
43.002481607843144,-81.58776992156864,24,"Soybean",82,62,56,32,52,200,239,239,241,58,1,106,39
43.002481607843144,-81.58447580392158,31,"Soybean",83,64,56,34,52,199,239,237,240,60,1,106,39
43.002481607843144,-81.58420129411765,2,"Soybean",83,62,55,33,52,200,239,238,241,61,1,105,38
43.002481607843144,-81.58392678431373,31,"Soybean",83,63,57,33,53,204,240,239,241,61,1,105,37
43.002481607843144,-81.56800521568628,22,"Corn",82,62,55,32,57,228,241,239,242,63,1,129,55
43.002481607843144,-81.56773070588235,12,"Corn",82,61,53,30,56,231,241,241,242,63,1,130,54
43.00275611764706,-81.58804443137255,25,"Soybean",82,63,55,36,61,171,227,199,236,58,1,118,57
43.00275611764706,-81.58776992156864,10,"Soybean",82,62,55,33,54,178,236,236,238,58,1,107,45
43.00275611764706,-81.58420129411765,33,"Soybean",83,63,56,34,52,199,239,237,240,61,1,107,39
43.00275611764706,-81.56800521568628,31,"Corn",83,60,51,31,53,158,208,211,229,53,1,99,44
43.00275611764706,-81.56773070588235,25,"Corn",83,60,51,30,57,188,236,237,238,53,1,116,51
43.003305137254905,-81.57184835294119,14,"Wheat - Winter",82,61,56,33,50,197,239,237,240,61,1,103,38
43.003305137254905,-81.57157384313726,18,"Wheat - Winter",82,62,55,32,52,198,239,237,240,61,1,104,39
43.003305137254905,-81.56416207843138,18,"Corn",83,68,58,43,58,181,235,199,229,68,1,117,55
43.003305137254905,-81.56388756862746,27,"Corn",83,65,57,41,61,178,223,233,236,68,1,121,55
43.003305137254905,-81.55949541176471,31,"Wheat - Winter",84,63,58,32,61,238,246,245,249,74,1,167,69
43.00357964705883,-81.57514247058825,25,"Corn",84,63,61,33,71,235,240,239,241,63,1,124,48
43.00357964705883,-81.57486796078432,8,"Corn",84,64,62,33,70,235,239,239,241,63,1,124,49
43.00357964705883,-81.57184835294119,30,"Wheat - Winter",82,62,55,32,51,196,239,238,240,61,1,104,38
43.00357964705883,-81.57157384313726,32,"Wheat - Winter",82,61,54,32,50,196,239,238,240,61,1,103,39
43.00357964705883,-81.56416207843138,17,"Corn",83,63,57,31,60,238,247,246,249,68,1,160,65
43.00357964705883,-81.56388756862746,27,"Corn",83,62,56,32,60,238,246,246,249,68,1,163,67
43.00357964705883,-81.55976992156863,25,"Wheat - Winter",84,61,54,33,58,184,235,236,238,74,1,125,57
43.00357964705883,-81.55949541176471,6,"Wheat - Winter",84,61,54,31,61,201,238,240,241,74,1,131,60
43.00385415686275,-81.57486796078432,26,"Corn",84,64,62,35,72,223,237,236,239,63,1,122,49
43.00385415686275,-81.55949541176471,31,"Wheat - Winter",84,66,57,40,62,207,237,184,238,75,1,133,60
43.00550121568628,-81.55976992156863,33,"Soybean",84,62,56,31,58,237,246,244,247,79,1,154,62
43.00550121568628,-81.55949541176471,29,"Soybean",84,61,55,32,59,237,246,244,248,79,1,158,64
43.0057757254902,-81.55976992156863,19,"Soybean",84,62,58,32,67,237,244,245,246,79,1,168,72
43.0057757254902,-81.55949541176471,13,"Soybean",84,63,58,33,66,237,245,246,247,79,1,168,72
43.00605023529412,-81.58310325490197,21,"Corn",86,61,52,31,51,175,236,235,238,51,1,96,38
43.00605023529412,-81.58282874509804,22,"Corn",86,62,54,32,50,193,239,239,240,52,1,101,39
43.00605023529412,-81.56635815686275,18,"Wheat - Winter",82,60,53,31,61,201,237,236,239,60,1,129,50
43.00605023529412,-81.56608364705883,20,"Wheat - Winter",82,60,53,31,60,183,235,236,238,60,1,126,51
43.00632474509804,-81.58310325490197,21,"Corn",86,62,54,33,54,162,219,195,235,51,1,90,36
43.00632474509804,-81.58282874509804,23,"Corn",86,62,54,33,51,173,236,235,238,52,1,96,39
43.00632474509804,-81.57294639215687,32,"Wheat - Winter",83,63,61,35,70,200,236,235,237,58,1,132,55
43.00632474509804,-81.56937776470589,9,"Wheat - Winter",80,59,49,28,50,179,235,235,237,57,1,114,43
43.00632474509804,-81.56910325490196,24,"Wheat - Winter",80,59,49,29,51,183,236,235,237,57,1,115,44
43.00632474509804,-81.56635815686275,24,"Wheat - Winter",82,61,56,32,63,206,237,238,240,60,1,134,50
43.00632474509804,-81.56608364705883,26,"Wheat - Winter",82,60,53,30,62,209,237,238,241,60,1,137,53
43.006599254901964,-81.5732209019608,27,"Wheat - Winter",82,61,54,33,62,176,224,206,236,55,1,116,47
43.006599254901964,-81.57294639215687,4,"Wheat - Winter",82,66,64,39,70,187,226,224,235,55,1,128,57
43.006599254901964,-81.57267188235295,35,"Wheat - Winter",82,64,63,39,64,176,222,208,235,55,1,120,52
43.006599254901964,-81.56937776470589,25,"Wheat - Winter",81,59,48,27,52,181,235,224,237,59,1,117,44
43.006599254901964,-81.56910325490196,34,"Wheat - Winter",81,58,50,30,53,183,236,236,238,59,1,120,47
