Latitude,Longitude,CropType,B02,B08,B11
43.006599254901964,-81.57294639215687,4,"Wheat - Winter",39,64,66
43.006599254901964,-81.57267188235295,35,"Wheat - Winter",39,63,64
43.006599254901964,-81.56937776470589,25,"Wheat - Winter",27,48,59
43.006599254901964,-81.56910325490196,34,"Wheat - Winter",30,50,58
43.00687376470589,-81.57294639215687,30,"Wheat - Winter",32,53,61
43.14357964705883,-81.52051501960786,26,"Corn",35,58,63
43.14357964705883,-81.52024050980393,13,"Corn",34,57,64
43.14385415686275,-81.52051501960786,30,"Corn",34,57,64
43.14385415686275,-81.52024050980393,21,"Corn",35,58,64
43.14440317647059,-81.52408364705883,33,"Corn",36,57,64
43.14440317647059,-81.52380913725491,10,"Corn",33,55,62
43.14440317647059,-81.52353462745099,31,"Corn",34,56,63
43.14467768627451,-81.52380913725491,20,"Corn",37,59,64
43.14879533333334,-81.55071109803923,22,"Wheat - Winter",41,60,66
43.14879533333334,-81.5504365882353,20,"Wheat - Winter",44,63,68
43.14906984313726,-81.55071109803923,24,"Wheat - Winter",83,88,87
43.14906984313726,-81.5504365882353,21,"Wheat - Winter",37,60,64
43.15236396078432,-81.55976992156863,29,"Corn",103,85,86
43.152638470588236,-81.5822797254902,27,"Wheat - Winter",88,77,81
43.152638470588236,-81.58200521568628,25,"Wheat - Winter",97,82,86
43.152638470588236,-81.56004443137256,27,"Corn",98,82,84
43.152638470588236,-81.55976992156863,4,"Corn",98,81,84
43.152638470588236,-81.55949541176471,34,"Corn",102,84,85
43.15291298039216,-81.5822797254902,20,"Wheat - Winter",92,80,83
43.15291298039216,-81.58200521568628,16,"Wheat - Winter",92,81,83
43.15291298039216,-81.55976992156863,33,"Corn",105,85,86
43.15373650980393,-81.5861228627451,28,"Wheat - Winter",37,58,64
43.15373650980393,-81.58584835294118,8,"Wheat - Winter",35,57,64
43.15373650980393,-81.58557384313725,34,"Wheat - Winter",35,58,64
43.15401101960785,-81.58584835294118,24,"Wheat - Winter",36,59,64
43.15483454901961,-81.58969149019609,19,"Wheat - Winter",36,58,64
43.15483454901961,-81.58941698039216,14,"Wheat - Winter",35,58,65
43.155109058823534,-81.58969149019609,30,"Wheat - Winter",42,62,67
43.155109058823534,-81.58941698039216,27,"Wheat - Winter",35,58,64
43.15757964705883,-81.58969149019609,23,"Corn",35,58,63
43.15757964705883,-81.58557384313725,19,"Soybean",37,58,65
43.15757964705883,-81.58529933333334,13,"Soybean",37,60,65
43.15785415686275,-81.589966,30,"Corn",35,57,64
43.15785415686275,-81.58969149019609,8,"Corn",35,56,64
43.15785415686275,-81.58941698039216,33,"Corn",35,56,64
43.15785415686275,-81.58557384313725,31,"Soybean",36,58,65
43.15785415686275,-81.58529933333334,27,"Soybean",37,61,65
43.42385415686275,-81.58529933333334,26,"Corn",32,50,54
43.42385415686275,-81.58502482352942,13,"Corn",30,48,53
43.424128666666675,-81.58529933333334,30,"Corn",62,65,68
